title,link,date
"Florida man steals pool floats for sex 'instead of raping women,' police say",https://www.local10.com/news/florida/florida-man-steals-pool-floats-for-sex-instead-of-raping-women,"June 15, 2019"
Florida man wearing 'COKE' shirt busted for selling... coke (cocaine),https://www.local10.com/news/florida/florida-man-wearing-coke-shirt-busted-for-selling-coke,"June 12, 2019"
"Florida man tells deputies cocaine on his nose is not his, officials say",https://www.local10.com/news/florida/florida-man-tells-deputies-cocaine-on-his-nose-is-not-his-officials-say,"June 10, 2019"
"Florida man brought home Georgia teen as sex slave, Feds say",https://www.local10.com/news/florida/florida-man-brought-home-georgia-teen-as-sex-slave-feds-say,"June 8, 2019"
Florida man threatens to eat eyes and tongues of cops,https://www.local10.com/news/florida/florida-man-threatens-to-eat-eyes-and-tongues-of-cops,"May 20, 2019"
Florida man looking for owner of necklace filled with ashes,https://www.local10.com/news/florida/florida-man-looking-for-owner-of-necklace-filled-with-ashes,"May 28, 2019"
Florida man accidentally shoots self in Publix,https://www.local10.com/news/florida/florida-man-accidentally-shoots-self-in-publix,"May 5, 2019"
"Florida man poses as FBI agent, dumps live catfish on woman's driveway",https://www.local10.com/news/weird-news/florida-man-poses-as-fbi-agent-dumps-live-catfish-on-womans-driveway,"May 15, 2019"
"Florida man arrested after slapping girlfriend with cheeseburger, deputies say",https://www.local10.com/news/florida/florida-man-arrested-after-slapping-girlfriend-with-cheeseburger-deputies-say,"May 14, 2019"
Florida man prepares for C-47 jump during Normandy reenactment,https://www.local10.com/video/florida-man-prepares-for-c-47-jump-during-normandy-reenactment,"June 4, 2019"
Florida man takes bath in Wendy's kitchen sink,https://www.local10.com/news/florida/florida-man-takes-bath-in-wendys-kitchen-sink,"May 24, 2019"
Florida man charged with DUI on his lawn mower,https://www.local10.com/news/florida/florida-man-charged-with-dui-on-his-lawn-mower,"May 6, 2019"
Florida man says passenger performed sex acts while he drove,https://www.local10.com/news/florida/florida-man-says-passenger-performed-sex-acts-while-he-drove,"May 22, 2019"
Florida man charged with making threats against Democratic lawmakers,https://www.local10.com/news/politics/florida-man-charged-with-making-threats-against-democratic-lawmakers,"April 19, 2019"
Florida man pretending to be cop pulls over undercover officer,https://www.local10.com/news/florida/florida-man-pretending-to-be-cop-pulls-over-undercover-officer,"April 18, 2019"
Florida man busted for singing dirty song to neighbor,https://www.local10.com/news/florida/florida-man-busted-for-singing-dirty-song-to-neighbor,"April 17, 2019"
Florida man arrested after dining on spaghetti with his bare hands,https://www.local10.com/news/florida/florida-man-arrested-after-dining-on-spaghetti-with-his-bare-hands,"April 10, 2019"
Florida man threatens to destroy everyone... with army of turtles,https://www.local10.com/news/florida/florida-man-threatens-to-destroy-everyone-with-army-of-turtles,"April 9, 2019"
Florida man arrested for murder moments after walking out of prison,https://www.local10.com/news/florida/florida-man-arrested-for-murder-moments-after-walking-out-of-prison,"April 8, 2019"
"Florida man freed from jail, immediately breaks into cars in jail parking lot",https://www.local10.com/news/florida/florida-man-freed-from-jail-immediately-breaks-into-cars-in-jail-parking-lot,"April 5, 2019"
Florida man released from Venezuelan prison,https://www.local10.com/news/venezuela/florida-man-released-from-venezuelan-prison,"April 29, 2019"
"Florida man kills pregnant stepmother, calls 911 at cemetery to confess, police say",https://www.local10.com/news/florida/florida-man-kills-pregnant-stepmother-calls-911-at-cemetery-to-confess-police-say,"March 22, 2019"
Florida man investigated after shooting shark,https://www.local10.com/news/national/florida-man-investigated-after-shooting-shark,"April 25, 2019"
Florida man arrested minutes after being released from jail,https://www.local10.com/news/national/florida-man-arrested-minutes-after-being-released-from-jail,"April 7, 2019"
Florida man arrested after recording himself having sex with his dog,https://www.local10.com/news/florida/florida-man-arrested-after-recording-himself-having-sex-with-his-dog,"February 12, 2019"
"Florida man receives $980,000 tax refund after reporting $18,497 in wages",https://www.local10.com/news/florida/florida-man-receives-980-000-tax-refund-after-reporting-18-497-in-wages,"February 16, 2019"
Florida man jailed for attacking man in 'Minions' costume,https://www.local10.com/news/florida/florida-man-jailed-for-attacking-man-in-minions-costume-22,"January 29, 2019"
Florida man dances through DUI sobriety test,https://www.local10.com/news/florida/florida-man-dances-through-dui-sobriety-test,"February 7, 2019"
"Florida man finds grenade, brings it to Taco Bell",https://www.local10.com/news/national/florida-man-finds-grenade-brings-it-to-taco-bell,"January 28, 2019"
Florida man dies in Atlanta police chase,https://www.local10.com/news/florida-man-dies-in-atlanta-police-chase,"April 21, 2019"
"Florida man learns hard way he stole laxatives, not opioids",https://www.local10.com/news/florida/florida-man-learns-hard-way-he-stole-laxatives-not-opioids,"January 28, 2019"
"Florida man threatens to kill man 'with kindness,' uses machete named 'Kindness'",https://www.local10.com/news/florida/florida-man-threatens-to-kill-man-with-kindness-uses-machete-named-kindness,"January 14, 2019"
"Florida man drinks 20 beers, attempts to get children to touch him inappropriately",https://www.local10.com/news/florida/florida-man-drinks-20-beers-attempts-to-get-children-to-touch-him-inappropriately,"January 16, 2019"
Florida man accused of being a fake doctor,https://www.local10.com/news/florida-man-accused-of-being-a-fake-doctor,"March 30, 2019"
Florida man arrested after argument over cheesesteak,https://www.local10.com/news/florida/florida-man-arrested-after-argument-over-cheesesteak,"January 8, 2019"
Florida man denies syringes found in rectum are his,https://www.local10.com/news/florida/florida-man-denies-syringes-found-in-rectum-are-his,"January 7, 2019"
"Florida man kills wife, leaves body for children to find, sheriff says",https://www.local10.com/news/florida/florida-man-kills-wife-leaves-body-for-children-to-find-sheriff-says,"December 20, 2018"
"Florida man arrested at Mar-a-lago, says he came to talk to Trump about 'his $6.3 trillion'",https://www.local10.com/news/florida/palm-beach-county/florida-man-arrested-at-mar-a-lago-says-he-came-to-talk-to-trump-about-his-63-trillion,"January 3, 2019"
