title,link
"Florida Man Captures Infamous Gator, ‘Chance The Snapper’ In Chicago Park Lagoon",https://miami.cbslocal.com/2019/07/16/florida-man-captures-gator-chance-the-snapper-chicago-park-lagoon/
Florida Man Caught On Camera ‘Pooping’ In Stranger’s Driveway,https://miami.cbslocal.com/2019/06/25/florida-man-caught-on-camera-pooping-in-strangers-driveway/
Florida Man Arrested For Luring Robbery Victims From Dating Site,https://miami.cbslocal.com/2019/07/14/florida-man-luring-robbery-victims-dating-site/
"Deputies Say Florida Man Held Wife’s Lover At Gunpoint, Cut Off His Penis & Took Off With It",https://miami.cbslocal.com/2019/07/17/florida-man-cut-wifes-lovers-penis-off-took-off/
Florida Man Arrested For Running Naked Through Walmart Parking Lot,https://miami.cbslocal.com/2019/06/25/florida-man-running-naked-walmart-parking-lot/
88-Year-Old Florida Man Fatally Stabs Landlord Following Altercation In Hialeah,https://miami.cbslocal.com/2019/07/15/88-year-old-florida-man-fatally-stabs-landlord/
Florida Man Charged With Murder Following Deadly Shooting At Miami Barbershop,https://miami.cbslocal.com/2019/07/17/florida-man-charged-murder-shooting-barbershop/
"Florida Man Charged With Manslaughter For Shooting Woman During Foreplay With Gun, Police Say",https://miami.cbslocal.com/2019/06/04/florida-man-manslaughter-woman-shot-foreplay-gun/
Florida Man Throws Feces At Judge During Hearing,https://miami.cbslocal.com/2019/06/23/florida-man-throws-feces-at-judge/
Flesh-Eating Bacteria Kills Man After Trip To Florida Beach,https://miami.cbslocal.com/2019/07/15/flesh-eating-bacteria-kills-man-after-trip-to-florida-beach/
Florida Man Surrenders To Police In Connection To Beating Of Elderly Hotel Owner Over Parking Spot,https://miami.cbslocal.com/2019/07/16/florida-man-surrenders-beating-elderly-hotel-owner/
Elderly Florida Man Fatally Stabs Landlord During Altercation In Hialeah,https://miami.cbslocal.com/2019/07/14/elderly-florida-man-fatally-stabs-landlord/
"Florida Man Accused Of Drugging, Sexually Assaulting 15-Year-Old Girl",https://miami.cbslocal.com/2019/06/27/florida-man-drugging-sexually-assaulting-teen-girl/
Florida Man Continues Gardening Naked Despite Neighbors Pleas To Stop,https://miami.cbslocal.com/2018/09/20/gardening-naked-neighbors-pleas-stop/
Florida Man Drags Deputy With Car In Traffic Stop,https://miami.cbslocal.com/2019/06/30/florida-man-drags-deputy-traffic-stop/
"Florida Man Swallows 20 Rocks Of Crack, Leads Cops On Chase From Miami To Upper Keys",https://miami.cbslocal.com/2019/06/12/florida-man-swallows-20-crack-rocks-police-chase-miami-upper-keys/
"‘F*** It, I’m Drunk, Take Me To Jail’: Florida Man Crashes Lawn Mower Into Police Car",https://miami.cbslocal.com/2019/05/07/drunk-florida-man-crashes-lawn-mower-police-car/
Parents Of Murdered Florida Man Awarded $700 Million By Jury,https://miami.cbslocal.com/2019/07/18/parents-of-murdered-florida-man-awarded-700-million-by-jury/
Florida Man Charged With Child Abuse For What He Called A Swim Lesson,https://miami.cbslocal.com/2019/07/17/florida-man-charged-child-abuse-swim-lesson/
"Florida Man Threatens To Destroy Everyone With Army Of Turtles, Police Say",https://miami.cbslocal.com/2019/04/11/florida-man-threatens-destruction-army-of-turtles/
"Florida Man Steals Pool Floats For Sex ‘Instead Of Raping Women,’ Police",https://miami.cbslocal.com/2019/06/17/florida-man-pool-floats-sex-instead-raping-women-police/
Deputies: Florida Man Calls 911 To Brag After Fleeing Traffic Stop,https://miami.cbslocal.com/2019/05/30/deputies-man-calls-911-brag-after-fleeing-traffic-stop/
Florida Man Mauled To Death By Pack Of Dogs,https://miami.cbslocal.com/2019/07/07/florida-man-mauled-death-pack-dogs/
‘You Gotta Smoke A Bowl With Me Please’: Florida Man Invites Police To Smoke Pot While Showing Off His Marijuana Plant,https://miami.cbslocal.com/2019/05/03/florida-man-shows-off-marijuana-police-arrested/
"Florida Man Breaks Into Wendy’s, Grills Burger And Steals Cash",https://miami.cbslocal.com/2019/06/30/florida-man-breaks-into-wendys/
Florida Man Banned For Life On Spirit Airlines For Reportedly Vaping During Flight,https://miami.cbslocal.com/2019/06/11/florida-man-vaping-banned-spirit-airlines/
Florida Man Finds Shark Tooth In Foot 25 Years After Attack,https://miami.cbslocal.com/2019/07/03/florida-man-shark-tooth-foot-25-years-after-attack-solves-mystery/
Florida Man Sentenced To 14 Years For Leaving Scene Of Fatal Crash,https://miami.cbslocal.com/2019/06/26/florida-man-sentenced-14-years-leaving-scene-fatal-crash/
"Florida Man Speeds Down Highway While Standing Out Of Sunroof, Says He’d Rather Go To Jail Than Home To His Wife",https://miami.cbslocal.com/2019/05/12/florida-man-highway-standing-out-sunroof/
Florida Man In Easter Bunny Brawl Is A Fugitive & Talks About His Furry Fist Fight,https://miami.cbslocal.com/2019/04/23/florida-man-easter-bunny-brawl-furry-fist-fight/
"‘What Did I Do Wrong’: Florida Man After 140 MPH Chase, Crash",https://miami.cbslocal.com/2019/05/26/florida-man-high-speed-chase-crash/
Florida Man Gets 70 Years In Prison In Child Porn Case,https://miami.cbslocal.com/2019/07/15/florida-man-gets-70-years-in-prison-in-child-porn-case/
"Florida Man, Randolph Moses, Darts Across Busy Highway To Escape Deputies, Still Gets Arrested",https://miami.cbslocal.com/2019/04/25/randolph-moses-darts-busy-highway-escape-deputies-arrested/
Florida Man Arrested For Slapping Reporter’s Hand At Orlando Trump Rally,https://miami.cbslocal.com/2019/06/19/florida-man-arrested-slapping-reporters-hand-orlando-trump-rally/
Florida Man Attacked By Neighborhood Squirrel Who Has Residents On High Alert,https://miami.cbslocal.com/2019/03/20/florida-man-attacked-by-neighborhood-squirrel/
Florida Man Shot After Altercation With His Brother In Miami-Dade,https://miami.cbslocal.com/2019/05/05/florida-man-shot-altercation-brother-miami-dade/
Florida Man Cleans Veterans’ Headstones On His Days Off,https://miami.cbslocal.com/2019/05/27/florida-man-cleans-veterans-headstones-days-off/
