title,link
Florida Man,https://miami.cbslocal.com/tag/florida-man/
Florida Man Tries To Buy Rolex Watches With Check Printed From Home Computer,https://miami.cbslocal.com/2020/07/30/florida-man-rolex-bad-check-printed-home-computer/
Top 10 Florida Man Stories Of 2019,https://miami.cbslocal.com/2019/12/26/top-10-florida-man-stories-2019/
Florida Man & Self-Described ‘White Supremacist’ Knocks Female Bartender Unconscious,https://miami.cbslocal.com/2020/08/03/florida-man-self-described-white-supremacist-hits-female-bartender-unconscious/
Florida Man Hospitalized After Iguana Runs Into Bike Causing Crash,https://miami.cbslocal.com/2020/07/10/florida-man-iguana-bike-crash/
Florida Man Haunts Beaches Dressed As ‘Grim Reaper’ Says Governor Should Require Masks Statewide,https://miami.cbslocal.com/2020/07/07/florida-man-grim-reaper-wants-governor-mandate-masks-coronavirus/
"Florida Man Charged With Murdering Family Says Wife Killed Kids, Self",https://miami.cbslocal.com/2020/07/28/florida-man-anthony-todt-family-murder-blames-wife/
Caught On Camera: Florida Man Attacks Lyft Driver,https://miami.cbslocal.com/2020/08/05/caught-on-camera-passenger-attacks-florida-lyft-driver/
‘I Feel Threatened’: Florida Man Fired After Mask Meltdown Video At Costco Goes Viral,https://miami.cbslocal.com/2020/07/08/florida-man-fired-mask-meltdown-video-costco-viral/
Coronavirus Protest: Florida Man Calls Attention To Prison Conditions By Encasing Self In Concrete,https://miami.cbslocal.com/2020/04/19/coronavirus-protest-florida-man-prison-conditions-encasing-self-concrete/
Caught On Camera: Florida Man Knocks Out Female Bartender During Racist Rant,https://miami.cbslocal.com/2020/08/05/florida-man-knocked-out-female-bartender-racist-rant/
"Florida Man Says He Went ‘Bananas,’ Shot Out Utility Workers’ Tires",https://miami.cbslocal.com/2017/07/20/florida-man-bananas-shot-out-utility-workers-tires/
Florida Man Accused Of Planning ISIS Terrorist Attack In Tampa Area,https://miami.cbslocal.com/2020/05/28/florida-man-charged-planning-isis-terrorist-attack-tampa/
Florida Man Arrested On Allegations He Used COVID-Relief Funds To Buy Lamborghini,https://miami.cbslocal.com/2020/07/27/florida-man-arrested-allegations-used-covid-relief-funds-buy-lamborghini/
"Police: Angry Over Masks Not Being Worn At Publix, Florida Man Threatens Shooting",https://miami.cbslocal.com/2020/04/16/florida-man-threatens-shooting-at-pubix-over-masks/
Police: Naked Florida Man Arrested In Attempted Murder Of Police Officer,https://miami.cbslocal.com/2019/12/16/hallandale-police-vehicle-shooting/
Florida Man Caught With Nearly 200 Illegal Lobsters,https://miami.cbslocal.com/2018/09/05/florida-man-arrested-200-illegal-lobsters/
"Florida Man Pulls Gun, Makes Death Threat In Mask Argument At Walmart",https://miami.cbslocal.com/2020/07/15/florida-man-pulls-gun-death-threat-mask-argument-walmart/
"Florida Man Captures Infamous Gator, ‘Chance The Snapper’ In Chicago Park Lagoon",https://miami.cbslocal.com/2019/07/16/florida-man-captures-gator-chance-the-snapper-chicago-park-lagoon/
"Florida Man Threatens To Destroy Everyone With Army Of Turtles, Police Say",https://miami.cbslocal.com/2019/04/11/florida-man-threatens-destruction-army-of-turtles/
Florida Man Sets Fire Inside Catholic Church In Ocala After Plowing Van Inside,https://miami.cbslocal.com/2020/07/11/florida-man-sets-fire-inside-catholic-church-in-ocala-after-plowing-van-inside/
"‘F*** It, I’m Drunk, Take Me To Jail’: Florida Man Crashes Lawn Mower Into Police Car",https://miami.cbslocal.com/2019/05/07/drunk-florida-man-crashes-lawn-mower-police-car/
Deputies: Florida Man Groped Princess At Magic Kingdom,https://miami.cbslocal.com/2019/11/06/deputies-florida-man-groped-princess-at-magic-kingdom/
Armed Florida Man’s Racist Rant Lands Him In Jail,https://miami.cbslocal.com/2020/07/01/armed-florida-mans-racist-rant-lands-him-in-jail/
"Police: Florida Man Covered In Blood During Traffic Stop, Confesses To Killing Father In Boca Raton",https://miami.cbslocal.com/2020/02/05/florida-man-confesses-killing-father-boca-raton/
Florida Man Accused Of Stabbing Woman Over Underdone Potato,https://miami.cbslocal.com/2018/11/27/florida-man-accused-of-stabbing-woman-over-underdone-potato/
Florida Man Arrested For Botched Castration On Another Man He Met On Eunuch Fetish Website,https://miami.cbslocal.com/2019/08/20/florida-man-arrested-botched-castration-eunuch-fetish-website/
"Florida Man Indicted For Threatening To Spread Coronavirus After Spitting, Coughing On Officers",https://miami.cbslocal.com/2020/05/22/florida-man-indicted-threatening-coronavirus-spitting-coughing-on-officers-pinellas-county/
Florida Man Wanted By Police Arrested After Streaming Live Video Of Himself On Social Media,https://miami.cbslocal.com/2020/05/25/florida-man-arrested-streaming-live-video-himself-social-media/
Florida Man Gets 3-Year-Prison Sentence For Courthouse Threat,https://miami.cbslocal.com/2020/06/27/florida-man-gets-3-year-prison-sentence-for-courthouse-threat/
Florida Man Sentenced For Collecting Dead Mom’s Social Security,https://miami.cbslocal.com/2020/06/13/florida-man-sentenced-for-collecting-dead-moms-social-security/
Florida Man Finds Gator Doing Laps In Backyard Pool,https://miami.cbslocal.com/2020/06/11/florida-man-gator-pool/
Florida Man Pleads Guilty In Embezzlement Scheme,https://miami.cbslocal.com/2014/11/29/florida-man-pleads-guilty-in-embezzlement-scheme/
Florida Man Accused Of Threatening Massacre At Walmart Day After El Paso Shooting,https://miami.cbslocal.com/2019/08/05/florida-man-accused-threatening-massacre-walmart/
Florida Man Accused Of Spitting At Boy Who Refused To Remove Mask,https://miami.cbslocal.com/2020/08/06/florida-man-accused-of-spitting-at-boy-who-refused-to-remove-mask/
South Florida Man Facing Federal Charges Involving Threatening Messages,https://miami.cbslocal.com/2019/12/13/south-florida-man-facing-federal-charges-involving-threatening-messages/
Florida Man Continues Gardening Naked Despite Neighbors Pleas To Stop,https://miami.cbslocal.com/2018/09/20/gardening-naked-neighbors-pleas-stop/
Florida Man Banned For Life On Spirit Airlines For Reportedly Vaping During Flight,https://miami.cbslocal.com/2019/06/11/florida-man-vaping-banned-spirit-airlines/
"Miami Police Shoot, Kill Man Eating Another Man’s Face",https://miami.cbslocal.com/2012/05/26/miami-police-confrontation-men-leaves-1-dead-1-hurt/
Florida Man Trying To Kill “Demons” Tormenting Him Went On Sledgehammer Spree,https://miami.cbslocal.com/2020/02/18/florida-man-trying-to-kill-demons-tormenting-him-went-on-sledgehammer-spree/
Florida Man Makes Beer Run With Large Gator In Hand,https://miami.cbslocal.com/2018/07/29/florida-man-beer-run-large-gator/
Florida Man Arrested After Posting Instructional Bomb Video,https://miami.cbslocal.com/2019/11/18/florida-man-arrested-instructional-bomb-video/
Florida Man Stuck On Ship For 62 Days,https://miami.cbslocal.com/2020/05/19/florida-man-stuck-on-ship-for-62-days/
Florida Man Charged With Pulling Gun During Mask Dispute At Palm Beach County Walmart,https://miami.cbslocal.com/2020/07/23/florida-man-gun-mask-dispute-palm-beach-county-walmart/
‘I Hope You Catch Corona’: Florida Man Coughs At Deputies While Being Arrested,https://miami.cbslocal.com/2020/04/12/florida-man-coughs-deputies-says-i-hope-you-catch-corona/
"Car Falls On Florida Man, Killing Him During Repair",https://miami.cbslocal.com/2020/03/10/car-falls-on-florida-man-killing-him-during-home-repair/
Report: Central Florida Man Accused Of Being ‘Pillowcase Rapist’,https://miami.cbslocal.com/2020/01/20/man-accused-of-being-pillowcase-rapist/
Disgruntled Florida Man Drives Golf Cart Into Walmart,https://miami.cbslocal.com/2019/08/08/disgruntled-florida-man-drives-golf-cart-into-walmart/
Florida Man Caught On Camera ‘Pooping’ In Stranger’s Driveway,https://miami.cbslocal.com/2019/06/25/florida-man-caught-on-camera-pooping-in-strangers-driveway/
Florida Man With Hepatitis A Sues Denny’s,https://miami.cbslocal.com/2020/02/17/florida-man-with-hepatitis-a-sues-dennys/
Florida Man Pays Off Lunch Debt For Nine Schools,https://miami.cbslocal.com/2019/10/14/florida-man-pays-school-lunch-debt/
Police: Florida Man Caught On Camera Taking An Upskirt Pic,https://miami.cbslocal.com/2020/02/12/florida-man-perv-caught-on-camera-taking-an-upskirt-pic/
Florida Man Asks Walmart Employee For ‘Anything That Would Kill 200 People’,https://miami.cbslocal.com/2019/08/08/florida-man-walmart-employee-anything-kill-200-people/
Florida Man Arrested For Shoplifting At Kohl’s After Job Interview,https://miami.cbslocal.com/2018/12/11/florida-man-arrest-shoplifting-kohls-after-job-interview/
Unemployed South Florida Man Tells Police He Robbed Store To Feed Family,https://miami.cbslocal.com/2020/05/26/south-florida-man-tells-police-he-robbed-to-feed-family/
"Florida Man Speeds Down Highway While Standing Out Of Sunroof, Says He’d Rather Go To Jail Than Home To His Wife",https://miami.cbslocal.com/2019/05/12/florida-man-highway-standing-out-sunroof/
Florida Man Accused Of Driving Into GOP Voter Registration Tent Pleads Not Guilty,https://miami.cbslocal.com/2020/03/03/florida-man-accused-driving-into-gop-voter-registration-tent-pleads-not-guilty/
Sheriff’s Office: Florida Man Stunned By Taser-Wielding Wife After Requesting Separation,https://miami.cbslocal.com/2020/02/04/florida-man-stunned-taser-wife/
Florida Man Throws Urine On Prosecutor During Sentencing Hearing In Fort Lauderdale,https://miami.cbslocal.com/2019/09/06/florida-man-throws-urine-prosecutor-fort-lauderdale/
Florida Man Wants To Be ‘Cool Father’ & Lets 12-Year-Old Girl Drive 85 MPH,https://miami.cbslocal.com/2020/06/09/florida-man-cool-father-12-year-girl-drive-85mph/
Coronavirus Impact: Florida Man Accused Of Coughing On Store Employee Faces Aggravated Assault Charges,https://miami.cbslocal.com/2020/04/09/coronavirus-impact-florida-man-arrested-for-coughing-on-store-employee/
Exclusive: Authorities Say South Florida Man Suspected In Theft From Alaska Fund,https://miami.cbslocal.com/2020/01/08/exclusive-authorities-say-south-florida-man-suspected-in-theft-from-alaska-fund/
