title,link
Florida man admits to lighting firecrackers under a child's bed,https://www.local10.com/news/florida-man-admits-to-lighting-firecrackers-under-a-childs-bed
Florida man found dead with 100 dog bites,https://www.local10.com/news/national/florida-man-found-dead-with-100-dog-bites
Florida man in custody for dragging cop,https://www.local10.com/news/florida/florida-man-in-custody-for-dragging-cop-1
South Florida man says he was deceived when he bought tiny strip of land,https://www.local10.com/news/florida/broward/south-florida-man-says-he-was-deceived-when-he-bought-tiny-strip-of-land
"Florida man steals pool floats for sex 'instead of raping women,' police say",https://www.local10.com/news/florida/florida-man-steals-pool-floats-for-sex-instead-of-raping-women
Florida man wearing 'COKE' shirt busted for selling... coke (cocaine),https://www.local10.com/news/florida/florida-man-wearing-coke-shirt-busted-for-selling-coke
"Florida man tells deputies cocaine on his nose is not his, officials say",https://www.local10.com/news/florida/florida-man-tells-deputies-cocaine-on-his-nose-is-not-his-officials-say
"Florida man brought home Georgia teen as sex slave, Feds say",https://www.local10.com/news/florida/florida-man-brought-home-georgia-teen-as-sex-slave-feds-say
Florida man threatens to eat eyes and tongues of cops,https://www.local10.com/news/florida/florida-man-threatens-to-eat-eyes-and-tongues-of-cops
Florida man looking for owner of necklace filled with ashes,https://www.local10.com/news/florida/florida-man-looking-for-owner-of-necklace-filled-with-ashes
Florida man accidentally shoots self in Publix,https://www.local10.com/news/florida/florida-man-accidentally-shoots-self-in-publix
"Florida man poses as FBI agent, dumps live catfish on woman's driveway",https://www.local10.com/news/weird-news/florida-man-poses-as-fbi-agent-dumps-live-catfish-on-womans-driveway
"Florida man arrested after slapping girlfriend with cheeseburger, deputies say",https://www.local10.com/news/florida/florida-man-arrested-after-slapping-girlfriend-with-cheeseburger-deputies-say
Florida man charged with DUI on his lawn mower,https://www.local10.com/news/florida/florida-man-charged-with-dui-on-his-lawn-mower
South Florida man convicted of brutally beating his roommate,https://www.local10.com/video/south-florida-man-convicted-of-brutally-beating-his-roommate
Local 10 finds cross in Normandy marking burial site of South Florida man's uncle,https://www.local10.com/news/military/local-10-finds-cross-in-normandy-marking-burial-site-of-south-florida-man-s-uncle
Florida man takes bath in Wendy's kitchen sink,https://www.local10.com/news/florida/florida-man-takes-bath-in-wendys-kitchen-sink
"South Florida man stabs sleeping mother several times, deputies say",https://www.local10.com/news/florida/palm-beach-county/south-florida-man-stabs-sleeping-mother-several-times-deputies-say
Florida man charged with making threats against Democratic lawmakers,https://www.local10.com/news/politics/florida-man-charged-with-making-threats-against-democratic-lawmakers
South Florida man arrested after fatally shooting neighbor during dog dispute,https://www.local10.com/news/florida/palm-beach-county/south-florida-man-arrested-after-fatally-shooting-neighbor-during-dog-dispute
South Florida man waits 2 years to receive title for purchased motorcycle,https://www.local10.com/consumer/leave-it-to-layron/south-florida-man-waits-2-years-to-receive-title-for-purchased-motorcycle
Florida man prepares for C-47 jump during Normandy reenactment,https://www.local10.com/video/florida-man-prepares-for-c-47-jump-during-normandy-reenactment
Florida man pretending to be cop pulls over undercover officer,https://www.local10.com/news/florida/florida-man-pretending-to-be-cop-pulls-over-undercover-officer
Florida man busted for singing dirty song to neighbor,https://www.local10.com/news/florida/florida-man-busted-for-singing-dirty-song-to-neighbor
Florida man says passenger performed sex acts while he drove,https://www.local10.com/news/florida/florida-man-says-passenger-performed-sex-acts-while-he-drove
Central Florida man sought in triple homicide turns himself in,https://www.local10.com/news/florida/central-florida-man-sought-in-triple-homicide-turns-himself-in
Florida man arrested after dining on spaghetti with his bare hands,https://www.local10.com/news/florida/florida-man-arrested-after-dining-on-spaghetti-with-his-bare-hands
Florida man threatens to destroy everyone... with army of turtles,https://www.local10.com/news/florida/florida-man-threatens-to-destroy-everyone-with-army-of-turtles
Florida man arrested for murder moments after walking out of prison,https://www.local10.com/news/florida/florida-man-arrested-for-murder-moments-after-walking-out-of-prison
"Florida man freed from jail, immediately breaks into cars in jail parking lot",https://www.local10.com/news/florida/florida-man-freed-from-jail-immediately-breaks-into-cars-in-jail-parking-lot
Florida man's body found with over 100 dog bites,https://www.local10.com/news/national/florida-mans-body-found-with-over-100-dog-bites
Hot sauce saves Florida man after car crashes into Taco Bell,https://www.local10.com/news/florida/hot-sauce-saves-florida-man-after-car-crashes-into-taco-bell
South Florida man calls cops after being scammed over paid sex,https://www.local10.com/news/florida/south-florida-man-calls-cops-after-being-scammed-over-paid-sex
"Florida man kills pregnant stepmother, calls 911 at cemetery to confess, police say",https://www.local10.com/news/florida/florida-man-kills-pregnant-stepmother-calls-911-at-cemetery-to-confess-police-say
"South Florida man attacks mother who refused to dress his mannequin, deputies say",https://www.local10.com/news/florida/palm-beach-county/south-florida-man-attacks-mother-who-refused-to-dress-his-mannequin-deputies-say
Florida man released from Venezuelan prison,https://www.local10.com/news/venezuela/florida-man-released-from-venezuelan-prison
South Florida man accused of failing to deliver trucks purchased from him,https://www.local10.com/news/florida/miami-beach/south-florida-man-accused-of-failing-to-deliver-trucks-purchased-from-him
TSA agents find non-working grenade launcher in Florida man's luggage,https://www.local10.com/news/florida/tsa-agents-find-non-working-grenade-launcher-in-florida-man-s-luggage
"Cassowary, a rare emu-like bird, kills Florida man",https://www.local10.com/news/national/cassowary-a-rare-emulike-bird-kills-florida-man
Police arrest Florida man pretending to be a deputy,https://www.local10.com/news/national/police-arrest-florida-man-pretending-to-be-a-deputy
Florida man arrested after recording himself having sex with his dog,https://www.local10.com/news/florida/florida-man-arrested-after-recording-himself-having-sex-with-his-dog
"Florida man receives $980,000 tax refund after reporting $18,497 in wages",https://www.local10.com/news/florida/florida-man-receives-980-000-tax-refund-after-reporting-18-497-in-wages
Florida man arrested minutes after being released from jail,https://www.local10.com/news/national/florida-man-arrested-minutes-after-being-released-from-jail
Florida man investigated after shooting shark,https://www.local10.com/news/national/florida-man-investigated-after-shooting-shark
Florida man jailed for attacking man in 'Minions' costume,https://www.local10.com/news/florida/florida-man-jailed-for-attacking-man-in-minions-costume-22
"Florida man, 85, attacked by gator in retirement community",https://www.local10.com/news/florida/florida-man-85-attacked-by-gator-in-retirement-community
Hickey on girl's neck leads to arrest of South Florida man,https://www.local10.com/news/florida/palm-beach-county/hickey-on-girls-neck-leads-to-arrest-of-south-florida-man
"Florida man finds grenade, brings it to Taco Bell",https://www.local10.com/news/national/florida-man-finds-grenade-brings-it-to-taco-bell
Florida man dances through DUI sobriety test,https://www.local10.com/news/florida/florida-man-dances-through-dui-sobriety-test
"Florida man learns hard way he stole laxatives, not opioids",https://www.local10.com/news/florida/florida-man-learns-hard-way-he-stole-laxatives-not-opioids
"Florida man threatens to kill man 'with kindness,' uses machete named 'Kindness'",https://www.local10.com/news/florida/florida-man-threatens-to-kill-man-with-kindness-uses-machete-named-kindness
"Florida man drinks 20 beers, attempts to get children to touch him inappropriately",https://www.local10.com/news/florida/florida-man-drinks-20-beers-attempts-to-get-children-to-touch-him-inappropriately
Florida man arrested after argument over cheesesteak,https://www.local10.com/news/florida/florida-man-arrested-after-argument-over-cheesesteak
Florida man denies syringes found in rectum are his,https://www.local10.com/news/florida/florida-man-denies-syringes-found-in-rectum-are-his
'We can do this!' Florida man declares in his plea for border wall funds,https://www.local10.com/news/florida/we-can-do-this-florida-man-declares-in-his-plea-for-border-wall-funds
Florida man dies in Atlanta police chase,https://www.local10.com/news/florida-man-dies-in-atlanta-police-chase
Of course 'Florida Man' drove his Ferrari off dock into the ocean,https://www.local10.com/news/florida/of-course-florida-man-drove-his-ferrari-off-dock-into-the-ocean
"VIDEO: Florida man doesn't get straw, attacks McDonald's employee",https://www.local10.com/news/florida/video-florida-man-doesnt-get-straw-attacks-mcdonalds-employee
Florida man accused of being a fake doctor,https://www.local10.com/news/florida-man-accused-of-being-a-fake-doctor
"Florida man kills wife, leaves body for children to find, sheriff says",https://www.local10.com/news/florida/florida-man-kills-wife-leaves-body-for-children-to-find-sheriff-says
Florida man who turned his life around after time in prison becomes a lawyer,https://www.local10.com/news/florida/palm-beach-county/florida-man-who-turned-his-life-around-after-time-in-prison-becomes-a-lawyer
Central Florida man wanted in triple murder spotted in Boynton Beach,https://www.local10.com/video/central-florida-man-wanted-in-triple-murder-spotted-in-boynton-beach
Florida man offers to trade marijuana for food at McDonald's drive-thru,https://www.local10.com/news/florida/florida-man-offers-to-trade-marijuana-for-food-at-mcdonalds-drive-thru
"Florida man arrested at Mar-a-lago, says he came to talk to Trump about 'his $6.3 trillion'",https://www.local10.com/news/florida/palm-beach-county/florida-man-arrested-at-mar-a-lago-says-he-came-to-talk-to-trump-about-his-63-trillion
Florida man arrested after naked chase,https://www.local10.com/news/florida/florida-man-arrested-after-naked-chase
"Florida man dresses in drag to buy puppy with stolen credit card, police say",https://www.local10.com/news/florida/florida-man-dresses-in-drag-to-buy-puppy-with-stolen-credit-card-police-say
Florida man hangs on after glider pilot forgets to strap him in,https://www.local10.com/news/florida/florida-man-hangs-on-after-glider-pilot-forgets-to-strap-him-in
South Florida man fears deportation after legally living in US for 16 years,https://www.local10.com/video/south-florida-man-fears-deportation-after-legally-living-in-us-for-16-years
"Florida man burns Gators flag on car, says he roots for Hurricanes",https://www.local10.com/news/weird-news/florida-man-burns-gators-flag-on-car-says-he-roots-for-hurricanes
South Florida man charged in connection with pipe bomb packages,https://www.local10.com/news/florida/plantation/south-florida-man-charged-in-connection-with-pipe-bomb-packages
Black Florida man wrongly convicted of murder in 1960s dies at age 83,https://www.local10.com/news/florida/black-florida-man-wrongly-convicted-of-murder-in-1960s-dies-at-age-83
Florida man dressed as Fred Flintstone pulled over for driving 'footmobile',https://www.local10.com/news/florida/florida-man-dressed-as-fred-flintstone-pulled-over-for-driving-footmobile
"Florida man gropes woman on flight, tells police Trump 'says it's OK'",https://www.local10.com/news/florida/accused-of-groping-woman-florida-man-cites-trump-authorities-say
Florida man arrested in inflatable dinosaur costume on battery charges,https://www.local10.com/news/florida/florida-man-arrested-in-inflatable-dinosaur-costume-on-battery-charges
